Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.796126,0.839942,0.637963,0.700483,217311,12044300
"Jul 27, 2017",0.761000,0.822649,0.595139,0.786137,286702,11506800
"Jul 26, 2017",0.975656,0.984676,0.644318,0.747107,264202,14744800
"Jul 25, 2017",1.12,1.27,0.775148,0.972195,572122,16906900
"Jul 24, 2017",0.823776,1.54,0.803642,1.10,1297370,12436200
"Jul 23, 2017",0.525395,1.01,0.437967,0.800207,585583,7927650
"Jul 22, 2017",1.20,1.20,0.353171,0.508003,744702,18033600
"Jul 21, 2017",1.01,1.61,0.860744,1.16,785593,15255700
"Jul 20, 2017",1.93,1.94,0.756631,1.05,1086520,29149200
"Jul 19, 2017",2.12,2.92,1.05,1.94,1844950,31976300
"Jul 18, 2017",3.55,3.83,2.13,2.13,1353330,53361100
"Jul 17, 2017",3.70,4.46,3.11,3.53,2560780,55633900
"Jul 16, 2017",2.37,4.27,2.33,3.76,4429350,35596300
"Jul 15, 2017",3.22,3.90,1.53,2.38,2913230,48437200
"Jul 14, 2017",4.37,6.82,3.09,3.23,4680020,65581700
"Jul 13, 2017",2.73,6.84,2.33,4.73,8428660,40976700
"Jul 12, 2017",0.826556,3.52,0.826556,2.65,5076570,12399700
"Jul 11, 2017",0.609056,0.837021,0.566111,0.830616,795028,9131970
"Jul 10, 2017",0.851975,0.906224,0.363025,0.612021,938222,12767400
"Jul 09, 2017",0.493979,1.42,0.229689,0.850250,2171310,7398600
"Jul 08, 2017",0.192616,0.579960,0.165012,0.473712,669745,2883340
"Jul 07, 2017",0.133229,0.960712,0.115146,0.177392,96819,1993250
"Jul 06, 2017",0.086932,0.127628,0.072044,0.127273,43175,1299870
"Jul 05, 2017",0.064890,0.090235,0.050532,0.086887,19100,969751
"Jul 04, 2017",0.059659,0.073762,0.059659,0.064923,1770,891126
"Jul 03, 2017",0.071661,0.084943,0.057935,0.059795,11330,1069810
"Jul 02, 2017",0.073727,0.082892,0.067308,0.071926,6286,1100050
"Jul 01, 2017",0.076544,0.083013,0.072654,0.073736,1228,1141490
"Jun 30, 2017",0.075675,0.085133,0.075109,0.076574,1104,1127920
"Jun 29, 2017",0.079205,0.092325,0.073236,0.075527,11867,1179910
"Jun 28, 2017",0.075483,0.085514,0.063375,0.079283,3917,1123860
"Jun 27, 2017",0.055128,0.074994,0.052004,0.074994,1837,820301
"Jun 26, 2017",0.055856,0.063784,0.030312,0.055128,4868,830731
"Jun 25, 2017",0.055648,0.073899,0.052617,0.055885,3274,827188
"Jun 24, 2017",0.081087,0.081346,0.054889,0.055779,5283,1204670
"Jun 23, 2017",0.081310,0.098284,0.075590,0.081096,9836,1207360
"Jun 22, 2017",0.062262,0.089878,0.062262,0.082434,5042,924022
"Jun 21, 2017",0.051888,0.067705,0.051888,0.062262,3647,769662
"Jun 20, 2017",0.081646,0.089903,0.051659,0.051888,20967,1210380
"Jun 19, 2017",0.093524,0.093524,0.081219,0.081641,6442,1385700
"Jun 18, 2017",0.083908,0.084906,0.075690,0.079660,853,1242550
"Jun 17, 2017",0.079936,0.087547,0.075034,0.087469,4275,1183020
"Jun 16, 2017",0.071328,0.087060,0.069464,0.079936,901,1055050
"Jun 15, 2017",0.075097,0.093718,0.055303,0.071332,6886,1110210
"Jun 14, 2017",0.068510,0.094349,0.068497,0.075101,3901,1012270
"Jun 13, 2017",0.073979,0.089927,0.063721,0.068550,4576,1092480
"Jun 12, 2017",0.088103,0.115855,0.072475,0.074237,2691,1300360
"Jun 11, 2017",0.093286,0.095026,0.087388,0.088220,7120,1376110
