Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2017",0.000344,0.000395,0.000344,0.000395,49,340338
"Mar 05, 2017",0.000359,0.000442,0.000312,0.000344,101,355618
"Mar 04, 2017",0.000412,0.000413,0.000350,0.000360,47,407915
"Mar 03, 2017",0.000325,0.000490,0.000325,0.000412,115,321040
"Mar 02, 2017",0.000544,0.000553,0.000252,0.000325,205,538207
"Mar 01, 2017",0.000414,0.000543,0.000392,0.000543,57,409360
"Feb 28, 2017",0.000398,0.000416,0.000384,0.000414,21,394031
"Feb 27, 2017",0.000407,0.000410,0.000395,0.000398,3,402993
"Feb 26, 2017",0.000412,0.000454,0.000401,0.000408,5,407563
"Feb 25, 2017",0.000440,0.000456,0.000376,0.000412,3,435391
"Feb 24, 2017",0.000419,0.000476,0.000402,0.000441,56,414281
"Feb 23, 2017",0.000453,0.000460,0.000369,0.000408,45,447907
"Feb 22, 2017",0.000524,0.000524,0.000443,0.000453,7,518422
"Feb 21, 2017",0.000391,0.000525,0.000387,0.000524,42,386953
"Feb 20, 2017",0.000427,0.000507,0.000384,0.000391,52,422823
"Feb 19, 2017",0.000510,0.000510,0.000426,0.000427,9,504977
"Feb 18, 2017",0.000460,0.000510,0.000426,0.000510,51,455551
"Feb 17, 2017",0.000523,0.000526,0.000442,0.000459,50,517836
"Feb 16, 2017",0.000435,0.000526,0.000426,0.000524,19,430910
"Feb 15, 2017",0.000502,0.000509,0.000434,0.000435,122,496956
"Feb 14, 2017",0.000524,0.000619,0.000475,0.000501,300,518497
"Feb 13, 2017",0.000531,0.000670,0.000353,0.000523,434,525423
"Feb 12, 2017",0.001248,0.001316,0.000476,0.000531,352,1235110
"Feb 11, 2017",0.000633,0.001966,0.000633,0.001249,1731,626345
"Feb 10, 2017",0.000315,0.000701,0.000273,0.000633,1417,311330
"Feb 09, 2017",0.000423,0.000456,0.000314,0.000314,3,418145
"Feb 08, 2017",0.000319,0.000425,0.000316,0.000422,7,315404
"Feb 07, 2017",0.000416,0.000425,0.000226,0.000318,209,412134
"Feb 06, 2017",0.000434,0.000440,0.000414,0.000416,6,429202
"Feb 05, 2017",0.000418,0.000444,0.000401,0.000433,9,413231
"Feb 04, 2017",0.000340,0.000429,0.000335,0.000417,78,336074
"Feb 03, 2017",0.000340,0.000501,0.000337,0.000339,4,336860
"Feb 02, 2017",0.000554,0.000557,0.000340,0.000340,64,548200
"Feb 01, 2017",0.000453,0.000565,0.000453,0.000554,154,448103
"Jan 31, 2017",0.000267,0.000453,0.000253,0.000452,393,264720
"Jan 30, 2017",0.000220,0.000301,0.000220,0.000267,87,217308
"Jan 29, 2017",0.000288,0.000290,0.000168,0.000219,63,284887
"Jan 28, 2017",0.000257,0.000295,0.000201,0.000288,35,254650
"Jan 27, 2017",0.000255,0.000281,0.000235,0.000257,42,252052
"Jan 26, 2017",0.000277,0.000333,0.000250,0.000255,47,274386
"Jan 25, 2017",0.000242,0.000320,0.000242,0.000277,1,239307
"Jan 24, 2017",0.000314,0.000346,0.000230,0.000242,52,310818
"Jan 23, 2017",0.000283,0.000389,0.000259,0.000318,52,279674
"Jan 22, 2017",0.000278,0.000872,0.000278,0.000282,1153,274846
"Jan 21, 2017",0.000276,0.000286,0.000257,0.000278,111,273107
"Jan 20, 2017",0.000245,0.000285,0.000189,0.000276,318,242662
"Jan 19, 2017",0.000289,0.000293,0.000179,0.000244,38,285495
"Jan 18, 2017",0.000392,0.000395,0.000172,0.000289,144,387432
"Jan 17, 2017",0.000356,0.000399,0.000222,0.000391,26,352430
"Jan 16, 2017",0.000297,0.000433,0.000262,0.000356,59,293525
"Jan 15, 2017",0.000276,0.000469,0.000117,0.000297,667,272874
"Jan 14, 2017",0.000253,0.000368,0.000161,0.000276,95,250133
"Jan 13, 2017",0.000254,0.000340,0.000244,0.000252,84,251331
"Jan 12, 2017",0.000368,0.000434,0.000254,0.000254,177,364317
"Jan 11, 2017",0.000363,0.000546,0.000348,0.000369,100,359412
"Jan 10, 2017",0.000366,0.000373,0.000341,0.000363,10,362360
"Jan 09, 2017",0.000319,0.000367,0.000310,0.000366,6,315668
"Jan 08, 2017",0.000333,0.000373,0.000316,0.000319,53,329442
"Jan 07, 2017",0.000343,0.000349,0.000306,0.000333,26,339856
"Jan 06, 2017",0.000396,0.000408,0.000321,0.000343,247,391561
"Jan 05, 2017",0.000463,0.000463,0.000337,0.000395,46,458024
"Jan 04, 2017",0.000439,0.000463,0.000397,0.000462,79,434233
"Jan 03, 2017",0.000388,0.000439,0.000388,0.000438,61,384362
"Jan 02, 2017",0.000399,0.000437,0.000385,0.000388,60,395445
"Jan 01, 2017",0.000376,0.000408,0.000374,0.000399,5,372066
"Dec 31, 2016",0.000394,0.000423,0.000361,0.000376,194,389924
"Dec 30, 2016",0.000430,0.000430,0.000386,0.000394,4,425651
"Dec 29, 2016",0.000430,0.000450,0.000372,0.000430,62,425467
"Dec 28, 2016",0.000385,0.000437,0.000372,0.000430,302,380732
"Dec 27, 2016",0.000408,0.000425,0.000362,0.000385,38,404392
"Dec 26, 2016",0.000424,0.000427,0.000377,0.000408,42,419447
"Dec 25, 2016",0.000369,0.000424,0.000360,0.000423,13,365236
"Dec 24, 2016",0.000381,0.000416,0.000367,0.000368,7,376840
"Dec 23, 2016",0.000354,0.000410,0.000354,0.000380,11,350997
"Dec 22, 2016",0.000368,0.000447,0.000353,0.000355,74,364457
"Dec 21, 2016",0.000384,0.000441,0.000363,0.000368,81,380573
"Dec 20, 2016",0.000524,0.000528,0.000333,0.000384,39,518859
"Dec 19, 2016",0.000368,0.000532,0.000356,0.000524,78,364086
"Dec 18, 2016",0.000411,0.000505,0.000361,0.000368,73,407323
"Dec 17, 2016",0.000338,0.000411,0.000315,0.000411,79,334837
"Dec 16, 2016",0.000358,0.000408,0.000314,0.000338,124,354913
"Dec 15, 2016",0.000359,0.000382,0.000312,0.000358,165,356078
"Dec 14, 2016",0.000359,0.000454,0.000350,0.000359,1175,355747
"Dec 13, 2016",0.000383,0.000453,0.000351,0.000359,388,378992
"Dec 12, 2016",0.000377,0.000414,0.000351,0.000382,19,373843
"Dec 11, 2016",0.000380,0.000380,0.000375,0.000377,1,376130
"Dec 10, 2016",0.000379,0.000380,0.000317,0.000380,36,375290
"Dec 09, 2016",0.000374,0.000426,0.000317,0.000379,26,371008
"Dec 08, 2016",0.000323,0.000377,0.000322,0.000375,19,319655
"Dec 07, 2016",0.000291,0.000362,0.000290,0.000323,116,287966
"Dec 06, 2016",0.000319,0.000405,0.000290,0.000291,87,315771
"Dec 05, 2016",0.000441,0.000446,0.000319,0.000319,68,437465
"Dec 04, 2016",0.000432,0.000434,0.000293,0.000434,51,427972
"Dec 03, 2016",0.000464,0.000471,0.000179,0.000432,15,459457
"Dec 02, 2016",0.000466,0.000477,0.000147,0.000463,321,461392
"Dec 01, 2016",0.000447,0.000465,0.000447,0.000465,344,443487
"Nov 30, 2016",0.000449,0.000470,0.000447,0.000447,650,444942
"Nov 29, 2016",0.000442,0.000456,0.000441,0.000448,2315,437970
