Date,Open,High,Low,Close,Volume,Market Cap
"Apr 28, 2017",0.118716,0.123742,0.092863,0.092863,"9,799","3,033,230"
"Apr 27, 2017",0.115325,0.119399,0.099326,0.118699,"11,375","2,943,940"
"Apr 26, 2017",0.121356,0.122276,0.093610,0.115253,"11,008","3,095,150"
"Apr 25, 2017",0.095053,0.121809,0.092936,0.121323,"19,080","2,422,080"
"Apr 24, 2017",0.117863,0.126080,0.076258,0.095032,"11,685","3,000,630"
"Apr 23, 2017",0.124165,0.146131,0.107279,0.117699,"7,354","3,158,180"
"Apr 22, 2017",0.147994,0.165285,0.088578,0.124143,"13,481","3,760,910"
"Apr 21, 2017",0.123110,0.171021,0.123067,0.147914,752,"3,125,680"
"Apr 20, 2017",0.137609,0.180068,0.119554,0.123076,"15,876","3,490,480"
"Apr 19, 2017",0.202165,0.207846,0.137471,0.168125,"30,528","5,417,600"
"Apr 18, 2017",0.166381,0.214123,0.133805,0.202100,"19,924","4,454,770"
"Apr 17, 2017",0.138749,0.174768,0.106764,0.166401,"22,914","3,711,640"
"Apr 16, 2017",0.101867,0.148748,0.091923,0.138712,"10,360","2,722,590"
"Apr 15, 2017",0.085199,0.102434,0.085026,0.101865,"1,413","2,275,110"
"Apr 14, 2017",0.091227,0.099894,0.085026,0.085216,"1,425","2,434,000"
"Apr 13, 2017",0.096759,0.097966,0.079010,0.091145,"3,644","2,579,350"
"Apr 12, 2017",0.091664,0.097772,0.087718,0.096707,"7,998","2,441,360"
"Apr 11, 2017",0.076985,0.091848,0.076029,0.091679,"7,228","2,048,580"
"Apr 10, 2017",0.074815,0.086925,0.074346,0.076963,"4,788","1,989,060"
"Apr 09, 2017",0.084069,0.095640,0.072026,0.074851,"11,003","2,233,190"
"Apr 08, 2017",0.097337,0.106780,0.063093,0.084026,"7,580","2,583,370"
"Apr 07, 2017",0.084720,0.098952,0.071236,0.097690,"8,869","2,246,500"
"Apr 06, 2017",0.106133,0.124196,0.070890,0.084988,"18,240","2,811,790"
"Apr 05, 2017",0.069539,0.106112,0.069346,0.106038,"5,480","1,840,660"
"Apr 04, 2017",0.086136,0.092984,0.067297,0.069480,"9,612","2,277,950"
"Apr 03, 2017",0.083011,0.087804,0.071223,0.085983,"2,033","2,193,320"
"Apr 02, 2017",0.063317,0.089750,0.062952,0.083027,"4,135","1,671,470"
"Apr 01, 2017",0.057007,0.064117,0.056420,0.063302,621,"1,503,530"
"Mar 31, 2017",0.058160,0.059001,0.048918,0.057000,581,"1,532,550"
"Mar 30, 2017",0.057337,0.059117,0.050676,0.058183,409,"1,509,500"
"Mar 29, 2017",0.013800,0.062245,0.013402,0.057414,334,"362,985"
"Mar 28, 2017",0.061392,0.695628,0.013603,0.013814,802,"1,613,340"
"Mar 27, 2017",0.043215,0.062460,0.043209,0.061452,6,"1,134,660"
"Mar 26, 2017",0.062051,0.068721,0.042667,0.042997,18,"1,627,770"
"Mar 25, 2017",0.069503,0.069503,0.054126,0.062004,359,"1,821,590"
"Mar 24, 2017",0.051231,0.069393,0.037852,0.069393,152,"1,341,470"
"Mar 23, 2017",0.033410,0.051242,0.032416,0.051242,236,"874,041"
"Mar 22, 2017",0.032511,0.053218,0.029416,0.033382,10,"849,764"
"Mar 21, 2017",0.036881,0.037223,0.024558,0.032508,492,"963,117"
"Mar 20, 2017",0.034160,0.037159,0.021091,0.036840,76,"891,253"
"Mar 19, 2017",0.040236,0.041076,0.009213,0.034143,179,"1,048,840"
"Mar 18, 2017",0.043543,0.044113,0.039681,0.040217,35,"1,134,040"
"Mar 17, 2017",0.047629,0.051279,0.028297,0.043565,3,"1,239,330"
"Mar 16, 2017",0.049021,0.059744,0.038768,0.047874,120,"1,274,400"
"Mar 15, 2017",0.041429,0.058927,0.040988,0.049072,161,"1,076,030"
"Mar 14, 2017",0.042936,0.056217,0.038959,0.041638,402,"1,114,140"
"Mar 13, 2017",0.041948,0.043313,0.037026,0.042927,88,"1,087,500"
"Mar 12, 2017",0.041123,0.044168,0.041030,0.041934,49,"1,065,150"
"Mar 11, 2017",0.037094,0.047008,0.033310,0.041104,200,"959,901"
"Mar 10, 2017",0.042766,0.051052,0.036103,0.037108,21,"1,105,640"
"Mar 09, 2017",0.050856,0.059880,0.038743,0.042758,173,"1,313,540"
"Mar 08, 2017",0.046969,0.058180,0.046457,0.050841,136,"1,212,000"
"Mar 07, 2017",0.047343,0.050940,0.042552,0.046980,145,"1,220,550"
"Mar 06, 2017",0.047763,0.049096,0.044594,0.047323,559,"1,230,270"
"Mar 05, 2017",0.048447,0.064031,0.045022,0.047769,110,"1,246,720"
"Mar 04, 2017",0.061950,0.101497,0.047622,0.048370,319,"1,592,730"
"Mar 03, 2017",0.072578,0.088671,0.060561,0.061832,665,"1,864,300"
"Mar 02, 2017",0.061772,0.096894,0.049987,0.072596,851,"1,585,270"
"Mar 01, 2017",0.054779,0.072768,0.032424,0.061662,75,"1,404,520"
"Feb 28, 2017",0.055605,0.069597,0.047665,0.054543,699,"1,424,410"
"Feb 27, 2017",0.069719,0.080037,0.030630,0.055750,272,"1,782,240"
"Feb 26, 2017",0.063387,0.080716,0.034283,0.054622,14,"1,620,770"
"Feb 25, 2017",0.100868,0.114538,0.052219,0.063359,581,"2,576,780"
"Feb 24, 2017",0.048872,0.101256,0.048872,0.101256,471,"1,247,360"
"Feb 23, 2017",0.047777,0.072741,0.029597,0.048590,866,"1,218,310"
