Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",59.82,62.31,36.29,53.05,"6,824,330","73,191,200"
"Jun 26, 2017",88.17,98.78,49.70,59.90,"9,639,820","107,875,000"
"Jun 25, 2017",103.21,168.49,72.49,86.55,"34,331,400","126,269,000"
"Jun 24, 2017",44.48,116.40,42.04,101.83,"17,322,100","54,422,400"
"Jun 23, 2017",35.05,48.58,17.67,45.63,"4,354,180",-
