Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",12.33,12.81,10.98,12.18,"150,098","11,376,300"
"Jun 28, 2017",9.11,12.71,8.91,12.52,"249,395","8,393,910"
"Jun 27, 2017",9.12,9.33,8.16,9.05,"65,263","8,382,660"
"Jun 26, 2017",9.53,9.69,6.57,8.95,"91,698","8,720,250"
"Jun 25, 2017",9.51,10.00,9.17,9.43,"85,092","8,679,150"
"Jun 24, 2017",10.27,10.48,9.44,9.82,"104,097","9,322,380"
"Jun 23, 2017",7.86,10.40,7.49,10.26,"125,542","7,113,270"
"Jun 22, 2017",7.72,8.29,7.07,8.03,"52,788","6,970,550"
"Jun 21, 2017",7.75,8.31,7.23,7.34,"55,188","6,984,070"
"Jun 20, 2017",7.59,9.99,6.27,7.84,"132,760","6,794,360"
"Jun 19, 2017",5.92,8.12,5.91,7.56,"113,819","5,264,040"
"Jun 18, 2017",5.44,6.24,5.17,6.24,"62,559","4,817,790"
"Jun 17, 2017",4.80,5.94,4.75,5.34,"43,041","4,231,310"
"Jun 16, 2017",4.71,5.46,4.30,4.94,"33,225","4,146,700"
"Jun 15, 2017",5.02,5.46,4.13,4.64,"25,467","4,411,350"
"Jun 14, 2017",5.32,5.78,4.54,5.16,"65,665","4,669,740"
"Jun 13, 2017",4.66,5.68,4.66,5.50,"97,564","4,089,010"
"Jun 12, 2017",4.41,5.19,3.78,5.04,"71,420","3,864,640"
"Jun 11, 2017",4.28,5.18,4.09,4.58,"40,090","3,753,690"
"Jun 10, 2017",4.53,4.81,3.89,4.29,"21,337","3,969,070"
"Jun 09, 2017",4.63,5.07,4.07,4.63,"23,584","4,060,020"
"Jun 08, 2017",4.40,5.27,3.90,4.86,"24,524","3,855,180"
"Jun 07, 2017",4.87,5.72,4.22,4.48,"21,716","4,265,290"
"Jun 06, 2017",4.65,5.97,4.14,4.79,"51,508","4,058,160"
"Jun 05, 2017",3.63,4.72,3.43,4.09,"24,523","3,164,940"
"Jun 04, 2017",4.01,4.14,3.40,3.59,"19,099","3,493,860"
"Jun 03, 2017",4.16,4.59,3.51,4.01,"26,116","3,622,610"
"Jun 02, 2017",4.49,4.88,3.98,4.17,"32,634","3,901,680"
"Jun 01, 2017",4.13,4.81,3.93,4.62,"17,494","3,587,340"
"May 31, 2017",3.75,4.54,3.50,4.23,"48,735","3,246,320"
"May 30, 2017",3.55,5.15,3.45,3.52,"37,077","3,070,950"
"May 29, 2017",2.45,4.01,2.41,3.54,"25,840","2,123,110"
"May 28, 2017",2.32,2.50,2.12,2.37,"7,170","2,007,070"
"May 27, 2017",2.52,2.81,2.09,2.30,"4,769","2,177,090"
"May 26, 2017",2.87,3.24,2.15,2.51,"9,861","2,482,530"
